id,name,rating,review_count,address
2cdGE8MLkA30R7ceI5c-Ig,Chungking Express,4.5,20,"5 rue de la Tour d'Auvergne, 75009 Paris, France"
zhHxYO0gH9Gh53D_J8XeOQ,L'Auberge Café,4.0,36,"4 rue Bertin Poirée, 75001 Paris, France"
XlBCQgnHlYUByBejO8r79g,L'Epicure,4.5,176,"112 rue du Faubourg Saint-Honoré, 75008 Paris, France"
vatPhRbtUkYxSeiZ-ev2wQ,The Frog & Underground,4.5,45,"176 rue Montmartre, 75002 Paris, France"
lBueZXrEbdSdvujDlQUB-w,Le Louchébem,4.0,192,"31 rue Berger, 75001 Paris, France"
oRhPz4rYjrYJ-pyfdHt1Hg,Paul,4.5,34,"7 Jardin du Carrousel, 75001 Paris, France"
oBry7omEm5kavp_l86AjCA,Khajuraho,5.0,25,"14 bd de la Tour Maubourg, 75007 Paris, France"
5RrthvXitulQA4i7TRc1Rw,Les Bougresses,4.5,61,"6 rue Jarente, 75004 Paris, France"
weiNgy7k32W5fmZoTaF-Bw,L'Ange 20,5.0,52,"44 rue des Tournelles, 75004 Paris, France"
-y7jgZ3cSCorkeXYGqyweA,万食如意 Fresh Noodles,4.5,63,"23 rue Saint-Denis, 75001 Paris, France"
v5Noospim4MQhncZRpCuCA,Le Petit Marché,4.5,107,"9 rue Béarn, 75003 Paris, France"
2pzucMcXawD5XB0LA277aA,Le Pas Sage,4.5,47,"1 Passage du Grand Cerf, 75002 Paris, France"
PI6edk8v1mpFWpCS56e-0g,Le Vaudésir,5.0,25,"41 rue Dareau, 75014 Paris, France"
_MNAGLsoe_vihaXk6tpffw,Le Bistrot d'Henri,4.5,135,"16 rue Princesse, 75006 Paris, France"
u0lE065YXe5sKcDiAzJcHg,Heureux Comme Alexandre,4.5,126,"24 rue Parcheminerie, 75005 Paris, France"
JfZHO8ezmgMTAzQLeDpdxA,Les Parisiennes,4.0,19,"17 avenue de la Motte Picquet, 75007 Paris, France"
Bx9w5upaDemxCcDZHDppQw,Matamata Coffee Bar,4.5,91,"58 rue d'Argout, 75002 Paris, France"
Mv_tdcgeN9Ox2Jju-ai0vA,Brasserie Dubillot,4.0,10,"222 Rue Saint-Denis, 75002 Paris, France"
CZjokgK7fWD3IeGeQFg8lw,Café Madame,4.5,13,"25 Rue de Vaugirard, 75006 Paris, France"
xEg_qiHxlud17zHXrTrFSQ,Ferdi,4.0,152,"32 rue du Mont Thabor, 75001 Paris, France"
rLo9eIHJtKQl806TsEBp-Q,Aux Lyonnais,4.0,75,"32 rue Saint-Marc, 75002 Paris, France"
3K6B3W9N4wUD7l3GT7YUsg,Le Poulailler,4.5,6,"60 rue Saint-Sabin, 75011 Paris, France"
V1OXKPl-pPABPkF9oZAJaQ,Le Confidentiel,4.5,8,"6 rue Robert Estienne, Champs Elysées, 75008 Paris, France"
4EO7AmtGKhrecEo0NtmU7Q,Café de la Régence,4.0,47,"167 rue Saint-Honoré, 75001 Paris, France"
sgc5fGdiYfOmq8sTeyG3Kw,Café Saint-Régis,4.0,190,"6 rue Jean du Bellay, 75004 Paris, France"
i0sd2IWFV0aRJOUA1zzRuQ,Le Brun,4.5,9,"95 rue Saint Honoré, 75001 Paris, France"
ldod0YhkG6vfT8Kn-R4Buw,LouLou Montmartre,4.0,5,"8 rue Lamarck, 75018 Paris, France"
vjJ5XviPtldKNqAevyoAug,Chez Mademoiselle,4.5,116,"16 rue Charlemagne, 75004 Paris, France"
xNj7ozsdEGJUp57jZGnDQQ,Grand Hôtel du Palais Royal,4.5,20,"4 rue de Valois, 75001 Paris, France"
MfmIKDTvTNfpdID38qWVag,Le Porte Pot,4.5,134,"14 rue Boutebrie, 75005 Paris, France"
L2IM2-b0sSOGsp7p9ou3HQ,Chez Savy,4.5,37,"23 rue Bayard, 75008 Paris, France"
skkSs9EZUiQeMVxEEkjIqA,Maison Sauvage,4.0,62,"5 rue de Buci, 75006 Paris, France"
yZqNSTp-d_Vq-vtPZ3cgkQ,La Brigade,5.0,6,"23 boulevard des Italiens, 75002 Paris, France"
eKBoT4coMRZdGmgHZuKHaw,Le Petit Médicis,4.5,18,"13 rue de Médicis, 75006 Paris, France"
36bmPjOYLp6-Ql_IEiSQUw,Sacré Frenchy !,4.5,14,"58 boulevard de Sebastopol, 75003 Paris, France"
ZE1PAvs-7pOaIuVcKGZvvw,Café Louise,4.0,107,"155 bd Saint Germain, 75006 Paris, France"
J6ge-0l4EFj5pXuPQRj58g,Bouillon Pigalle,3.5,124,"22 boulevard Clichy, 75018 Paris, France"
E1pcPLiXrTxujSWy-8P6vA,Bistrot du Centre,4.0,8,"131 rue Saint-Martin, 75004 Paris, France"
KggnM_Z4wOa_JExunaaWHg,Le Temps des Cerises,4.5,375,"31 rue de la Cerisaie, 75004 Paris, France"
AKjVaoytS_XrHBPX7iJeBQ,Au Bon Accueil,4.5,90,"14 rue Monttessuy, 75007 Paris, France"
rQ-19HdIQDBAljeDZwuWxg,Restaurant Véro-Dodat,4.5,8,"19 Galerie Véro-Dodat, 75001 Paris, France"
hiqQTVdbpcQtgCqu2M6PqQ,Le Cinq,4.5,159,"31 avenue George V, 75008 Paris, France"
cEixu9Rr6e7j5IIsspU9QQ,Le Prince Racine,4.5,14,"22 rue Monsieur le Prince, 75006 Paris, France"
